show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duration_num,duration_unit,genres,year_added,month_added,director_norm,first_director,is_movie,num_genres,title_word_count,is_recent_added,quarter_added,month_name,desc_for_rec
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25-09-2021,2020,PG-13,90 min,Documentaries,90,min,['Documentaries'],2021,9,kirsten johnson,kirsten johnson,1,1,4,1,2021Q3,September,Dick Johnson Is Dead Documentaries
s3,TV Show,Ganglands,Julien Leclercq,France,24-09-2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,Season,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']",2021,9,julien leclercq,julien leclercq,0,3,1,1,2021Q3,September,"Ganglands Crime TV Shows, International TV Shows, TV Action & Adventure"
s6,TV Show,Midnight Mass,Mike Flanagan,United States,24-09-2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",1,Season,"['TV Dramas', ' TV Horror', ' TV Mysteries']",2021,9,mike flanagan,mike flanagan,0,3,2,1,2021Q3,September,"Midnight Mass TV Dramas, TV Horror, TV Mysteries"
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,22-09-2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies",91,min,"['Children & Family Movies', ' Comedies']",2021,9,bruno garotti,bruno garotti,1,2,5,1,2021Q3,September,"Confessions of an Invisible Girl Children & Family Movies, Comedies"
s8,Movie,Sankofa,Haile Gerima,United States,24-09-2021,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",125,min,"['Dramas', ' Independent Movies', ' International Movies']",2021,9,haile gerima,haile gerima,1,3,1,1,2021Q3,September,"Sankofa Dramas, Independent Movies, International Movies"
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,24-09-2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",9,Seasons,"['British TV Shows', ' Reality TV']",2021,9,andy devonshire,andy devonshire,0,2,5,1,2021Q3,September,"The Great British Baking Show British TV Shows, Reality TV"
s10,Movie,The Starling,Theodore Melfi,United States,24-09-2021,2021,PG-13,104 min,"Comedies, Dramas",104,min,"['Comedies', ' Dramas']",2021,9,theodore melfi,theodore melfi,1,2,2,1,2021Q3,September,"The Starling Comedies, Dramas"
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,01-05-2021,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",87,min,"['Children & Family Movies', ' Comedies', ' Music & Musicals']",2021,5,suhas kadav,suhas kadav,1,3,7,1,2021Q2,May,"Motu Patlu in the Game of Zones Children & Family Movies, Comedies, Music & Musicals"
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,23-09-2021,2021,TV-MA,127 min,"Dramas, International Movies",127,min,"['Dramas', ' International Movies']",2021,9,christian schwochow,christian schwochow,1,2,3,1,2021Q3,September,"Je Suis Karl Dramas, International Movies"
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,01-05-2021,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",76,min,"['Children & Family Movies', ' Music & Musicals']",2021,5,suhas kadav,suhas kadav,1,2,4,1,2021Q2,May,"Motu Patlu in Wonderland Children & Family Movies, Music & Musicals"
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,01-05-2021,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",76,min,"['Children & Family Movies', ' Comedies']",2021,5,suhas kadav,suhas kadav,1,2,5,1,2021Q2,May,"Motu Patlu: Deep Sea Adventure Children & Family Movies, Comedies"
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,01-05-2021,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",71,min,"['Children & Family Movies', ' Comedies']",2021,5,suhas kadav,suhas kadav,1,2,4,1,2021Q2,May,"Motu Patlu: Mission Moon Children & Family Movies, Comedies"
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,21-05-2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",131,min,"['Dramas', ' International Movies', ' Music & Musicals']",2021,5,not given,not given,1,3,3,1,2021Q2,May,"99 Songs (Tamil) Dramas, International Movies, Music & Musicals"
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,13-07-2021,2021,TV-14,39 min,Movies,39,min,['Movies'],2021,7,"krysia plonka, kristian mercado",krysia plonka,1,1,4,1,2021Q3,July,Bridgerton - The Afterparty Movies
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12-06-2021,2021,TV-MA,36 min,Movies,36,min,['Movies'],2021,6,"krysia plonka, kristian mercado",krysia plonka,1,1,5,1,2021Q2,June,Bling Empire - The Afterparty Movies
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12-06-2021,2021,TV-MA,34 min,Movies,34,min,['Movies'],2021,6,"krysia plonka, kristian mercado",krysia plonka,1,1,5,1,2021Q2,June,Cobra Kai - The Afterparty Movies
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,07-05-2021,2021,TV-14,35 min,Comedies,35,min,['Comedies'],2021,5,"krysia plonka, kristian mercado",krysia plonka,1,1,5,1,2021Q2,May,The Circle - The Afterparty Comedies
s4,TV Show,Jailbirds New Orleans,Not Given,Pakistan,24-09-2021,2021,TV-MA,1 Season,"Docuseries, Reality TV",1,Season,"['Docuseries', ' Reality TV']",2021,9,not given,not given,0,2,3,1,2021Q3,September,"Jailbirds New Orleans Docuseries, Reality TV"
s15,TV Show,Crime Stories: India Detectives,Not Given,Pakistan,22-09-2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",1,Season,"['British TV Shows', ' Crime TV Shows', ' Docuseries']",2021,9,not given,not given,0,3,4,1,2021Q3,September,"Crime Stories: India Detectives British TV Shows, Crime TV Shows, Docuseries"
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,26-11-2019,2019,TV-Y,46 min,Children & Family Movies,46,min,['Children & Family Movies'],2019,11,"mark thornton, todd kauffman",mark thornton,1,1,3,1,2019Q4,November,True: Winter Wishes Children & Family Movies
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,15-06-2018,2018,TV-Y,1 Season,Kids' TV,1,Season,"[""Kids' TV""]",2018,6,"mark thornton, todd kauffman",mark thornton,0,1,3,0,2018Q2,June,True: Magical Friends Kids' TV
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,15-06-2018,2018,TV-Y,1 Season,Kids' TV,1,Season,"[""Kids' TV""]",2018,6,"mark thornton, todd kauffman",mark thornton,0,1,3,0,2018Q2,June,True: Wonderful Wishes Kids' TV
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,18-05-2018,2018,TV-Y,1 Season,Kids' TV,1,Season,"[""Kids' TV""]",2018,5,"mark thornton, todd kauffman",mark thornton,0,1,5,0,2018Q2,May,Dance & Sing with True Kids' TV
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,24-09-2021,2021,PG,91 min,Children & Family Movies,91,min,['Children & Family Movies'],2021,9,"robert cullen, josé luis ucha",robert cullen,1,1,6,1,2021Q3,September,My Little Pony: A New Generation Children & Family Movies
